Gene,Variance
Gene 54638,12.854059034248513
Gene 33848,10.050617212102301
Gene 51378,10.042747009295354
Gene 15466,8.959332255959092
Gene 31086,8.94806338249233
Gene 12451,8.8083659796816
Gene 49315,8.777872928995002
Gene 14448,8.619982806259912
Gene 15587,8.533760279494986
Gene 18809,8.5157334359951
Gene 33850,8.20887594365237
Gene 54639,8.051078824932675
Gene 8758,8.045346195697471
Gene 31009,8.010815346686703
Gene 18810,7.926751547648438
Gene 12450,7.867041657318949
Gene 15074,7.852509269134223
Gene 38267,7.729447139464614
Gene 15949,7.71755562662352
Gene 19439,7.672408895153598
Gene 23518,7.630550390931935
Gene 40921,7.580903768321228
Gene 37425,7.547186527406664
Gene 14160,7.488983343992204
Gene 45788,7.443855578012068
Gene 40332,7.353451761629671
Gene 19422,7.323558799664601
Gene 20190,7.286123817272057
Gene 15582,7.251189436742564
Gene 40986,7.231952140976828
Gene 16362,7.088154256386274
Gene 36926,7.075063711887927
Gene 15999,7.050143323266522
Gene 11358,6.975673888917752
Gene 54644,6.928983194288648
Gene 51594,6.89988550562803
Gene 15073,6.833992201386992
Gene 16273,6.74925782318558
Gene 14806,6.712440240322065
Gene 45335,6.70661399691414
Gene 19472,6.693700293094545
Gene 19473,6.633938002608252
Gene 24270,6.59994122017394
Gene 18068,6.598553908837837
Gene 15610,6.586834504500781
Gene 15619,6.517366768683612
Gene 13857,6.470147981999053
Gene 16232,6.440201486341309
Gene 20256,6.423728256233089
Gene 46308,6.405873352932607
Gene 3779,6.40452697916846
Gene 31076,6.391267236398392
Gene 11858,6.336442907996859
Gene 38170,6.314639887213991
Gene 15729,6.308216019929574
Gene 30293,6.251126037034926
Gene 36458,6.198626221935651
Gene 52589,6.179557607572418
Gene 39832,6.174791854615265
Gene 11859,6.136493195564936
Gene 19395,6.126924238431966
Gene 37891,6.091081435008544
Gene 1008,6.088110296226764
Gene 44771,6.049880103179702
Gene 19703,6.047958674199659
Gene 33481,6.046980166958179
Gene 41265,5.970948624787134
Gene 14561,5.969365337518457
Gene 27288,5.943897702743515
Gene 40447,5.942391350530994
Gene 14726,5.936563793691124
Gene 38021,5.926371012880305
Gene 15903,5.901216074510516
Gene 15796,5.85502091664081
Gene 44316,5.838725968105678
Gene 40883,5.802996504146565
Gene 14299,5.797545579966268
Gene 11467,5.789937879149747
Gene 14881,5.748260844009765
Gene 41632,5.744558480728625
Gene 44841,5.713798670213972
Gene 51055,5.691272861985885
Gene 39348,5.689905322445026
Gene 44368,5.687309784498395
Gene 14313,5.632720291261052
Gene 51083,5.614133682774068
Gene 14381,5.608411060251189
Gene 31197,5.600855077671442
Gene 51412,5.594737210923251
Gene 15371,5.588309415244201
Gene 38159,5.587288089846797
Gene 29836,5.585012881597115
Gene 45558,5.584738147904389
Gene 14919,5.578115619938977
Gene 14032,5.575064050372385
Gene 18487,5.567278583963156
Gene 19603,5.565853034508512
Gene 11886,5.564432010651622
Gene 19474,5.56324456404412
Gene 15637,5.491567795571285
