Rank,Biomarker_ID,Importance_Score
1,206502_s_at,0.07651855349959631
2,242162_at,0.06459944107217601
3,240065_at,0.061509704202654975
4,206163_at,0.06140826528303135
5,231077_at,0.047386326126677154
6,204933_s_at,0.04489552629283091
7,203001_s_at,0.04192268737283993
8,236085_at,0.04186347444105208
9,228915_at,0.040480328223514016
10,208650_s_at,0.035201622348169335
11,210033_s_at,0.032850897411301726
12,230093_at,0.03136514217928513
13,206826_at,0.030179775891028448
14,1553635_s_at,0.028939743160834724
15,241805_at,0.02853130054336271
16,202409_at,0.028046531452970706
17,221916_at,0.02728414776502337
18,206282_at,0.026201888719066698
19,229012_at,0.025783137691268533
20,204584_at,0.025150977875590015
21,203000_at,0.02473187325462733
22,236538_at,0.023048381902135776
23,202410_x_at,0.022561458807082796
24,243339_at,0.022521556091496305
25,210016_at,0.021702356121092427
26,205471_s_at,0.020405445632598232
27,210881_s_at,0.019211658814059566
28,228636_at,0.017169056855837438
29,205433_at,0.016316236883328596
30,205358_at,0.012212504085467413
